Inst Code,Institute Name,Place,Dist Code,"Co
Educati on",College Type,Year of Estab,Branch Code,Branch Name,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,Tuition Fee,"TS
Affiliated To",
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,85763,108173,138651,138651,139999,139999,105717,108173,101077,108173,85763,119563,152737,152737,143804,152466,85763,130997,65000,JNTUH,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,135003,135003,135003,135003,140399,143763,135003,135003,135003,135003,136711,136711,156241,156761,135003,135003,135003,144409,65000,JNTUH,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MEC,MECHANICAL ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,65000,JNTUH,
AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MIN,MINING ENGINEERING,111932,111932,111932,111932,111932,111932,111932,111932,111932,111932,111932,111932,156261,156261,128935,149974,111932,111932,65000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,100565,100565,100565,100565,100565,100565,100565,100565,100565,100565,100565,100565,148358,148358,119361,119361,100565,100565,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,43794,43794,90732,103497,68114,74849,43794,43794,63600,76528,77443,77443,131422,132923,140102,147339,68224,73940,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSM,"COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",53765,59501,143545,143545,129982,129982,76327,76327,80863,100493,133284,133284,155745,155745,154126,154126,81320,81320,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,97248,134527,143183,143383,142278,145166,97248,134527,146006,146006,131093,134527,156760,156760,152846,152846,111265,143498,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,156840,90000,JNTUH,
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,43715,43715,143490,143490,145543,145543,74197,74197,112641,112641,137360,146005,156360,156360,126408,148379,111483,136813,90000,JNTUH,
